============================================================================  ==================================================  ===================  ===================  ===================  ===================
File path                                                                     File name                                             File size (bytes)  last access          Last modified        Creation time
============================================================================  ==================================================  ===================  ===================  ===================  ===================
.                                                                             Configurator.py                                                    6343  28/01/2020 10:31:07  28/01/2020 10:31:07  15/01/2020 16:41:15
.                                                                             Configurator.spec                                                  1052  17/01/2020 17:08:29  17/01/2020 17:08:29  17/01/2020 16:12:04
.                                                                             Filesystem.txt                                                        0  28/01/2020 10:31:40  28/01/2020 10:31:40  15/01/2020 14:01:52
.                                                                             file_system.log                                                   30124  15/01/2020 14:55:21  15/01/2020 14:55:21  15/01/2020 14:01:52
.                                                                             File_system.py                                                     6905  28/01/2020 10:33:30  28/01/2020 10:33:30  15/01/2020 14:01:52
.                                                                             hashfile.txt                                                          0  28/01/2020 10:33:30  28/01/2020 10:33:30  17/01/2020 12:44:43
.                                                                             logboek.log                                                        1652  28/01/2020 10:33:44  28/01/2020 10:33:44  15/01/2020 16:41:19
.                                                                             proces_list.py                                                     7734  17/01/2020 14:34:02  17/01/2020 14:34:02  17/01/2020 10:37:42
.                                                                             Proces_list.txt                                                   55799  18/01/2020 18:47:05  18/01/2020 18:47:05  17/01/2020 10:52:00
.                                                                             README.md                                                             6  15/01/2020 12:50:29  15/01/2020 12:50:29  15/01/2020 12:50:29
.                                                                             RegistryKeys.txt                                                   3345  18/01/2020 18:47:02  18/01/2020 18:47:02  15/01/2020 16:41:15
.                                                                             registry_key.py                                                    7522  17/01/2020 15:37:41  17/01/2020 15:37:41  15/01/2020 16:41:15
.                                                                             registry_keys.log                                                     0  28/01/2020 10:33:30  28/01/2020 10:33:30  15/01/2020 16:41:15
.                                                                             ScheduledTasks.txt                                                  402  24/01/2020 14:26:53  24/01/2020 14:26:53  15/01/2020 16:41:20
.                                                                             scheduled_tasks.py                                                 7524  17/01/2020 15:55:27  17/01/2020 15:55:27  15/01/2020 14:08:05
.\.git                                                                        COMMIT_EDITMSG                                                       51  17/01/2020 15:45:33  17/01/2020 15:45:33  15/01/2020 12:51:30
.\.git                                                                        config                                                              528  15/01/2020 14:00:20  15/01/2020 14:00:20  15/01/2020 14:00:20
