==============================================================  =======================================================================================================================  =========  =====================================
Name                                                            Path                                                                                                                     State      Last time runned
==============================================================  =======================================================================================================================  =========  =====================================
CCleanerSkipUAC                                                 \CCleanerSkipUAC                                                                                                         Completed  2019-06-30 20:06:34 (Central EU Time)
HPCeeScheduleForyassi                                           \HPCeeScheduleForyassi                                                                                                   Completed  1999-11-30 00:00:00 (Central EU Time)
NvProfileUpdaterDaily_{B2FE1952-0186-46C3-BAEC-A80AA35AC5B8}    \NvProfileUpdaterDaily_{B2FE1952-0186-46C3-BAEC-A80AA35AC5B8}                                                            Completed  2020-01-28 12:25:42 (Central EU Time)
NvProfileUpdaterOnLogon_{B2FE1952-0186-46C3-BAEC-A80AA35AC5B8}  \NvProfileUpdaterOnLogon_{B2FE1952-0186-46C3-BAEC-A80AA35AC5B8}                                                          Completed  2020-01-29 10:44:21 (Central EU Time)
NvTmMon_{B2FE1952-0186-46C3-BAEC-A80AA35AC5B8}                  \NvTmMon_{B2FE1952-0186-46C3-BAEC-A80AA35AC5B8}                                                                          Completed  2020-01-29 10:44:21 (Central EU Time)
NvTmRepCR1_{B2FE1952-0186-46C3-BAEC-A80AA35AC5B8}               \NvTmRepCR1_{B2FE1952-0186-46C3-BAEC-A80AA35AC5B8}                                                                       Completed  2020-01-28 19:13:19 (Central EU Time)
NvTmRepCR2_{B2FE1952-0186-46C3-BAEC-A80AA35AC5B8}               \NvTmRepCR2_{B2FE1952-0186-46C3-BAEC-A80AA35AC5B8}                                                                       Completed  2020-01-29 10:45:18 (Central EU Time)
NvTmRepCR3_{B2FE1952-0186-46C3-BAEC-A80AA35AC5B8}               \NvTmRepCR3_{B2FE1952-0186-46C3-BAEC-A80AA35AC5B8}                                                                       Completed  2020-01-29 10:45:18 (Central EU Time)
NvTmRep_{B2FE1952-0186-46C3-BAEC-A80AA35AC5B8}                  \NvTmRep_{B2FE1952-0186-46C3-BAEC-A80AA35AC5B8}                                                                          Completed  2020-01-28 12:25:42 (Central EU Time)
AppleSoftwareUpdate                                             \Apple\AppleSoftwareUpdate                                                                                               Completed  2020-01-27 19:09:35 (Central EU Time)
HP Support Solutions Framework Updater - Resources              \Hewlett-Packard\HP Support Assistant\HP Support Solutions Framework Updater - Resources                                 Completed  2019-05-30 20:15:39 (Central EU Time)
Product Configurator                                            \Hewlett-Packard\HP Support Assistant\Product Configurator                                                               Completed  2020-01-26 16:08:00 (Central EU Time)
Office Automatic Updates 2.0                                    \Microsoft\Office\Office Automatic Updates 2.0                                                                           Completed  2020-01-29 11:13:42 (Central EU Time)
Office ClickToRun Service Monitor                               \Microsoft\Office\Office ClickToRun Service Monitor                                                                      Completed  2020-01-29 10:45:19 (Central EU Time)
Office Feature Updates                                          \Microsoft\Office\Office Feature Updates                                                                                 Completed  2020-01-29 11:15:08 (Central EU Time)
Office Feature Updates Logon                                    \Microsoft\Office\Office Feature Updates Logon                                                                           Completed  2020-01-29 11:30:33 (Central EU Time)
OfficeBackgroundTaskHandlerLogon                                \Microsoft\Office\OfficeBackgroundTaskHandlerLogon                                                                       Completed  1999-11-30 00:00:00 (Central EU Time)
OfficeBackgroundTaskHandlerRegistration                         \Microsoft\Office\OfficeBackgroundTaskHandlerRegistration                                                                Completed  2020-01-29 11:16:43 (Central EU Time)
OfficeTelemetryAgentFallBack2016                                \Microsoft\Office\OfficeTelemetryAgentFallBack2016                                                                       Completed  2020-01-29 11:12:21 (Central EU Time)
OfficeTelemetryAgentLogOn2016                                   \Microsoft\Office\OfficeTelemetryAgentLogOn2016                                                                          Completed  2020-01-29 11:15:08 (Central EU Time)
XblGameSaveTask                                                 \Microsoft\XblGameSave\XblGameSaveTask                                                                                   Completed  1999-11-30 00:00:00 (Central EU Time)
AD RMS Rights Policy Template Management (Manual)               \Microsoft\Windows\Active Directory Rights Management Services Client\AD RMS Rights Policy Template Management (Manual)  Completed  1999-11-30 00:00:00 (Central EU Time)
Microsoft Compatibility Appraiser                               \Microsoft\Windows\Application Experience\Microsoft Compatibility Appraiser                                              Completed  2020-01-29 10:45:18 (Central EU Time)
ProgramDataUpdater                                              \Microsoft\Windows\Application Experience\ProgramDataUpdater                                                             Completed  2020-01-27 19:20:26 (Central EU Time)
StartupAppTask                                                  \Microsoft\Windows\Application Experience\StartupAppTask                                                                 Completed  2020-01-27 19:20:25 (Central EU Time)
appuriverifierdaily                                             \Microsoft\Windows\ApplicationData\appuriverifierdaily                                                                   Completed  2020-01-29 11:13:43 (Central EU Time)
appuriverifierinstall                                           \Microsoft\Windows\ApplicationData\appuriverifierinstall                                                                 Completed  2020-01-02 13:51:39 (Central EU Time)
CleanupTemporaryState                                           \Microsoft\Windows\ApplicationData\CleanupTemporaryState                                                                 Completed  2020-01-26 20:15:11 (Central EU Time)
