=====  ==================================================================  ===================  =======  ========  ==============  ============  =============  ===========  ============================  ===============================================================================================================
  pid  name                                                                create_time            cores  status      memory_usage    read_bytes    write_bytes    n_threads  username                      path
=====  ==================================================================  ===================  =======  ========  ==============  ============  =============  ===========  ============================  ===============================================================================================================
    0  System Idle Process                                                 2020-01-24 18:09:45        0  running                0             0              0           12  NT AUTHORITY\SYSTEM           -
    4  System                                                              2020-01-24 18:09:45       12  running                0    1839353080     2647829731          248  NT AUTHORITY\SYSTEM           -
  144  Registry                                                            2020-01-24 18:09:47       12  running         87564288          2048      150843392            4  NT AUTHORITY\SYSTEM           -
  444  SkypeApp.exe                                                        2020-01-28 10:25:13       12  stopped        108584960      16648834        3146640           43  LAPTOP-G1N7SMFF\yassi         C:\Program Files\WindowsApps\Microsoft.SkypeApp_14.55.131.0_x64__kzf8qxf38zg5c\SkypeApp.exe
  476  smss.exe                                                            2020-01-24 18:09:53       12  running           192512       1853236          24724            2  NT AUTHORITY\SYSTEM           C:\Windows\System32\smss.exe
  556  svchost.exe                                                         2020-01-24 18:10:01       12  running           135168             0              0            2  NT AUTHORITY\SYSTEM           C:\Windows\System32\svchost.exe
  760  fsnotifier64.exe                                                    2020-01-28 10:25:38       12  running           270336        890165        8291553            3  LAPTOP-G1N7SMFF\yassi         C:\Program Files\JetBrains\PyCharm Community Edition 2019.3\bin\fsnotifier64.exe
  780  csrss.exe                                                           2020-01-24 18:09:59       12  running           630784        423612              0           11  NT AUTHORITY\SYSTEM           C:\Windows\System32\csrss.exe
  880  wininit.exe                                                         2020-01-24 18:10:00       12  running           376832       1572704              0            1  NT AUTHORITY\SYSTEM           C:\Windows\System32\wininit.exe
  952  services.exe                                                        2020-01-24 18:10:00       12  running          5316608     204362940         156908            8  NT AUTHORITY\SYSTEM           C:\Windows\System32\services.exe
  960  lsass.exe                                                           2020-01-24 18:10:00       12  running         11042816       5063166        2480965            8  NT AUTHORITY\SYSTEM           C:\Windows\System32\lsass.exe
 1040  fontdrvhost.exe                                                     2020-01-24 18:10:01       12  running           335872             0              0            5  Font Driver Host\UMFD-0       C:\Windows\System32\fontdrvhost.exe
 1048  svchost.exe                                                         2020-01-24 18:10:01       12  running         17424384     833052380        1844800           21  NT AUTHORITY\SYSTEM           C:\Windows\System32\svchost.exe
 1132  WUDFHost.exe                                                        2020-01-24 18:10:01       12  running          4550656       2967450          39936           11  NT AUTHORITY\LOCAL SERVICE    C:\Windows\System32\WUDFHost.exe
 1200  svchost.exe                                                         2020-01-24 18:10:01       12  running          9625600        127488              0           15  NT AUTHORITY\NETWORK SERVICE  C:\Windows\System32\svchost.exe
 1216  svchost.exe                                                         2020-01-24 18:10:01       12  running          2351104             0              0            4  NT AUTHORITY\LOCAL SERVICE    C:\Windows\System32\svchost.exe
 1244  svchost.exe                                                         2020-01-24 18:10:01       12  running          2330624             0              0            4  NT AUTHORITY\SYSTEM           C:\Windows\System32\svchost.exe
 1308  svchost.exe                                                         2020-01-25 14:53:19       12  running           663552          1143          29718            5  NT AUTHORITY\LOCAL SERVICE    C:\Windows\System32\svchost.exe
 1320  winlogon.exe                                                        2020-01-27 22:26:21       12  running          5095424       1443609            160            6  NT AUTHORITY\SYSTEM           C:\Windows\System32\winlogon.exe
 1420  svchost.exe                                                         2020-01-24 18:10:01       12  running          1699840             0              0            3  NT AUTHORITY\LOCAL SERVICE    C:\Windows\System32\svchost.exe
 1436  svchost.exe                                                         2020-01-24 18:10:01       12  running           536576             0              0            5  NT AUTHORITY\LOCAL SERVICE    C:\Windows\System32\svchost.exe
 1444  cmd.exe                                                             2020-01-28 13:57:53       12  running           995328      47709567              0            2  LAPTOP-G1N7SMFF\yassi         C:\Windows\System32\cmd.exe
 1452  svchost.exe                                                         2020-01-24 18:10:01       12  running          4321280             0              0            9  NT AUTHORITY\LOCAL SERVICE    C:\Windows\System32\svchost.exe
 1648  svchost.exe                                                         2020-01-24 18:10:01       12  running          1179648             0              0            5  NT AUTHORITY\SYSTEM           C:\Windows\System32\svchost.exe
 1664  svchost.exe                                                         2020-01-24 18:10:01       12  running          1449984             0              0            2  NT AUTHORITY\LOCAL SERVICE    C:\Windows\System32\svchost.exe
 1680  WUDFHost.exe                                                        2020-01-24 18:10:01       12  running          1019904             0              0            5  NT AUTHORITY\LOCAL SERVICE    C:\Windows\System32\WUDFHost.exe
 1740  svchost.exe                                                         2020-01-24 18:10:01       12  running          9179136     300991848      241748312            8  NT AUTHORITY\LOCAL SERVICE    C:\Windows\System32\svchost.exe
 1796  svchost.exe                                                         2020-01-24 18:10:01       12  running          6483968    1443949791        3465936           12  NT AUTHORITY\SYSTEM           C:\Windows\System32\svchost.exe
 1820  svchost.exe                                                         2020-01-24 18:10:01       12  running           798720             0              0            3  NT AUTHORITY\LOCAL SERVICE    C:\Windows\System32\svchost.exe
 1936  svchost.exe                                                         2020-01-24 18:10:01       12  running          1900544             0              0            3  NT AUTHORITY\SYSTEM           C:\Windows\System32\svchost.exe
 1944  svchost.exe                                                         2020-01-24 18:10:01       12  running          2744320          5236        7721120            4  NT AUTHORITY\SYSTEM           C:\Windows\System32\svchost.exe
 1972  svchost.exe                                                         2020-01-24 18:10:01       12  running           872448            86              0            5  NT AUTHORITY\SYSTEM           C:\Windows\System32\svchost.exe
 1980  svchost.exe                                                         2020-01-24 18:10:01       12  running          1052672           714              0            5  NT AUTHORITY\LOCAL SERVICE    C:\Windows\System32\svchost.exe
 2004  MicrosoftEdge.exe                                                   2020-01-28 11:20:29       12  stopped          8024064       1302791          67637           34  LAPTOP-G1N7SMFF\yassi         C:\Windows\SystemApps\Microsoft.MicrosoftEdge_8wekyb3d8bbwe\MicrosoftEdge.exe
 2232  svchost.exe                                                         2020-01-24 18:10:01       12  running           442368        191488              0            2  NT AUTHORITY\SYSTEM           C:\Windows\System32\svchost.exe
 2244  svchost.exe                                                         2020-01-24 18:10:01       12  running          1634304         44888              0            3  NT AUTHORITY\SYSTEM           C:\Windows\System32\svchost.exe
 2284  svchost.exe                                                         2020-01-24 18:10:01       12  running          2682880        532480              0            6  NT AUTHORITY\SYSTEM           C:\Windows\System32\svchost.exe
 2296  svchost.exe                                                         2020-01-24 18:10:01       12  running          1691648             0              0            5  NT AUTHORITY\LOCAL SERVICE    C:\Windows\System32\svchost.exe
 2304  svchost.exe                                                         2020-01-24 18:12:06       12  running          1241088          1508           2080            8  NT AUTHORITY\LOCAL SERVICE    C:\Windows\System32\svchost.exe
 2308  svchost.exe                                                         2020-01-24 18:10:01       12  running          2621440           460              0           12  NT AUTHORITY\NETWORK SERVICE  C:\Windows\System32\svchost.exe
 2336  svchost.exe                                                         2020-01-24 18:10:01       12  running           315392             0              0            2  NT AUTHORITY\LOCAL SERVICE    C:\Windows\System32\svchost.exe
 2476  svchost.exe                                                         2020-01-24 18:10:01       12  running           430080             0              0            3  NT AUTHORITY\SYSTEM           C:\Windows\System32\svchost.exe
 2516  svchost.exe                                                         2020-01-24 18:10:01       12  running          1683456             0              0            3  NT AUTHORITY\LOCAL SERVICE    C:\Windows\System32\svchost.exe
 2580  igfxCUIService.exe                                                  2020-01-24 18:10:01       12  running           843776       5413608              0            2  NT AUTHORITY\SYSTEM           C:\Windows\System32\DriverStore\FileRepository\cui_dch.inf_amd64_92cf9d9d84f1d3db\igfxCUIService.exe
 2636  svchost.exe                                                         2020-01-24 18:10:01       12  running          4714496          4176           5760            8  NT AUTHORITY\NETWORK SERVICE  C:\Windows\System32\svchost.exe
 2668  svchost.exe                                                         2020-01-24 18:10:01       12  running          2097152       2476524       48217665            6  NT AUTHORITY\SYSTEM           C:\Windows\System32\svchost.exe
 2768  dasHost.exe                                                         2020-01-24 18:10:01       12  running          1335296             0              0            3  NT AUTHORITY\LOCAL SERVICE    C:\Windows\System32\dasHost.exe
 2808  svchost.exe                                                         2020-01-24 18:10:01       12  running          1089536             0              0            5  NT AUTHORITY\LOCAL SERVICE    C:\Windows\System32\svchost.exe
